H1,H2,H3,H4,H5,H6,PP1,PP2
61,81,78,231,3268,170,3187,1
79,48,55,221,1528,142,1480,1
70,54,81,214,808,144,754,1
47,39,83,188,351,141,312,1
56,64,68,156,306,100,242,1
69,63,84,189,279,120,216,1
61,64,61,187,429,126,365,1
64,55,75,165,333,101,278,1
78,63,54,174,376,96,313,1
74,75,75,156,335,82,260,1
76,74,65,193,343,117,269,1
38,49,65,179,268,141,219,1
66,47,68,175,282,109,235,1
56,80,73,166,291,110,211,1
64,64,39,165,310,101,246,1
40,54,64,174,474,134,420,1
64,63,76,166,289,102,226,1
56,49,74,172,292,116,243,1
39,58,57,175,232,136,174,1
74,59,65,165,286,91,227,1
97,100,48,374,349,277,249,2
95,67,56,273,261,178,194,2
80,81,74,320,783,240,702,2
73,79,66,267,286,194,207,2
109,84,82,397,530,288,446,2
83,64,82,317,478,234,414,2
56,87,84,274,391,218,304,2
105,59,81,281,207,176,148,2
100,67,54,270,251,170,184,2
94,66,68,276,195,182,129,2
81,89,83,263,204,182,115,2
95,54,59,280,187,185,133,2
87,54,71,1443,206,1356,152,2
86,72,54,264,241,178,169,2
51,48,59,256,212,205,164,2
62,51,55,280,214,218,163,2
85,61,61,257,223,172,162,2
83,65,84,256,221,173,156,2
112,55,71,297,208,185,153,2
87,60,69,258,215,171,155,2
89,75,57,265,285,176,210,3
91,91,56,233,267,142,176,3
72,94,74,112,236,40,142,3
72,74,57,132,201,60,127,3
72,74,72,149,201,77,127,3
73,76,89,132,201,59,125,3
90,80,73,110,223,20,143,3
72,58,58,183,183,111,125,3
71,78,91,128,187,57,109,3
56,77,91,95,187,39,110,3
90,74,74,383,200,293,126,3
91,73,76,150,197,59,124,3
72,69,72,169,181,97,112,3
89,61,91,128,187,39,126,3
94,45,72,110,172,16,127,3
72,59,90,113,187,41,128,3
72,55,91,133,183,61,128,3
70,63,57,110,189,40,126,3
57,78,105,96,172,39,94,3
90,79,74,109,190,19,111,3
70,80,82,368,195,298,115,4
95,105,78,416,199,321,94,4
66,100,90,232,175,166,75,4
85,67,83,384,166,299,99,4
88,85,73,512,196,424,111,4
89,98,55,334,216,245,118,4
75,66,86,287,265,212,199,4
85,89,87,265,164,180,75,4
69,74,83,208,138,139,64,4
80,90,83,244,186,164,96,4
99,95,99,236,183,137,88,4
92,95,91,241,174,149,79,4
92,100,92,235,189,143,89,4
88,102,91,248,205,160,103,4
112,97,100,811,185,699,88,4
97,87,96,282,181,185,94,4
92,113,115,285,181,193,68,4
101,91,100,275,193,174,102,4
86,104,93,279,200,193,96,4
98,86,69,307,208,209,122,4
110,104,124,700,1029,590,925,5
137,94,129,551,390,414,296,5
124,100,156,293,358,169,258,5
137,110,148,1033,3050,896,2940,5
129,118,137,351,405,222,287,5
140,122,144,351,401,211,279,5
119,129,149,366,471,247,342,5
139,137,113,308,507,169,370,5
154,113,130,473,374,319,261,5
121,95,110,401,1615,280,1520,5
123,103,148,383,357,260,254,5
128,101,137,434,580,306,479,5
146,96,135,474,1332,328,1236,5
119,98,128,304,677,185,579,5
156,118,113,309,499,153,381,5
120,93,154,344,288,224,195,5
110,117,139,286,335,176,218,5
139,116,136,271,386,132,270,5
114,116,129,348,393,234,277,5
178,87,107,615,445,437,358,5
88,83,109,312,260,224,177,6
78,77,123,318,241,240,164,6
81,82,93,248,164,167,82,6
82,96,97,320,308,238,212,6
73,98,86,195,212,122,114,6
85,79,81,250,262,165,183,6
77,75,76,218,147,141,72,6
98,98,102,200,183,102,85,6
58,77,86,225,198,167,121,6
80,107,80,571,274,491,167,6
96,86,62,199,281,103,195,6
73,96,58,140,207,67,111,6
107,90,58,179,178,72,88,6
72,91,85,194,225,122,134,6
75,103,85,176,366,101,263,6
85,112,76,154,213,69,101,6
90,63,90,200,179,110,116,6
81,108,89,223,241,142,133,6
89,95,96,219,228,130,133,6
103,87,85,209,198,106,111,6
71,147,71,339,1377,268,1230,7
125,117,107,345,485,220,368,7
126,94,98,1017,476,891,382,7
104,95,111,316,318,212,223,7
71,130,73,527,738,456,608,7
102,122,98,694,593,592,471,7
61,98,122,146,316,85,218,7
72,90,98,256,332,184,242,7
46,57,62,484,302,438,245,7
89,82,100,461,250,372,168,7
79,137,105,762,281,683,144,7
73,96,101,177,346,104,250,7
72,56,81,346,308,274,252,7
73,114,96,259,309,186,195,7
63,91,81,189,267,126,176,7
93,89,101,180,271,87,182,7
69,116,105,867,349,798,233,7
71,102,108,681,295,610,193,7
92,52,73,844,797,752,745,7
78,108,101,194,877,116,769,7
107,86,86,276,932,169,846,8
93,74,104,209,775,116,701,8
76,53,90,160,213,84,160,8
73,83,101,164,331,91,248,8
82,62,64,124,433,42,371,8
71,78,75,213,869,142,791,8
67,81,76,401,736,334,655,8
61,81,76,206,318,145,237,8
74,68,79,217,399,143,331,8
104,94,122,364,559,260,465,8
74,77,91,434,686,360,609,8
64,84,141,328,623,264,539,8
84,81,83,202,300,118,219,8
95,79,104,184,258,89,179,8
68,82,112,254,209,186,127,8
130,85,89,200,726,70,641,8
84,80,104,201,933,117,853,8
104,84,80,166,317,62,233,8
110,94,105,174,262,64,168,8
80,81,77,240,499,160,418,8
60,72,89,245,133,185,61,9
62,79,63,315,141,253,62,9
70,79,80,223,150,153,71,9
54,76,63,201,172,147,96,9
90,96,72,225,191,135,95,9
71,80,97,206,367,135,287,9
87,78,86,199,151,112,73,9
77,88,89,255,157,178,69,9
95,146,116,684,155,589,9,9
122,166,123,681,326,559,160,9
88,123,115,524,208,436,85,9
96,78,81,726,105,630,27,9
79,62,63,258,190,179,128,9
97,117,75,709,148,612,31,9
77,119,149,568,279,491,160,9
96,80,55,659,132,563,52,9
88,125,109,598,149,510,24,9
79,146,89,809,280,730,134,9
29,72,47,355,108,326,36,9
60,88,80,555,115,495,27,9
85,73,92,1003,968,918,895,10
102,69,121,707,638,605,569,10
108,97,128,919,1361,811,1264,10
101,81,100,417,672,316,591,10
98,92,118,922,966,824,874,10
87,89,123,565,689,478,600,10
69,54,72,299,371,230,317,10
72,93,81,276,355,204,262,10
71,91,83,310,424,239,333,10
110,81,98,793,968,683,887,10
70,75,99,318,386,248,311,10
61,101,91,293,367,232,266,10
72,105,103,273,369,201,264,10
79,74,81,309,384,230,310,10
81,72,82,347,337,266,265,10
72,65,92,336,390,264,325,10
71,63,92,292,354,221,291,10
70,63,70,301,323,231,260,10
60,65,79,315,345,255,280,10
72,83,72,272,358,200,275,10
53,55,70,136,1578,83,1523,11
81,64,72,180,453,99,389,11
63,65,63,137,504,74,439,11
97,45,64,182,327,85,282,11
70,54,78,121,756,51,702,11
38,79,72,270,311,232,232,11
69,80,64,819,561,750,481,11
18,47,80,764,379,746,332,11
105,80,96,493,396,388,316,11
70,63,72,617,511,547,448,11
76,56,63,325,297,249,241,11
68,73,63,316,339,248,266,11
72,74,62,295,297,223,223,11
112,71,78,252,1615,140,1544,11
71,63,76,337,297,266,234,11
79,64,55,344,329,265,265,11
71,80,64,154,354,83,274,11
78,80,72,195,312,117,232,11
77,72,87,210,504,133,432,11
94,80,78,187,346,93,266,11
110,111,103,368,586,258,475,12
87,104,89,215,695,128,591,12
94,88,105,236,276,142,188,12
92,95,86,226,334,134,239,12
115,75,84,250,232,135,157,12
67,86,97,186,247,119,161,12
84,93,95,197,221,113,128,12
73,74,69,204,263,131,189,12
75,85,95,203,233,128,148,12
86,96,89,188,221,102,125,12
65,95,85,212,231,147,136,12
75,84,96,186,222,111,138,12
82,89,101,187,267,105,178,12
89,90,94,181,225,92,135,12
79,76,85,189,223,110,147,12
70,76,87,175,194,105,118,12
80,80,78,182,197,102,117,12
63,78,84,172,199,109,121,12
72,89,80,163,198,91,109,12
70,91,85,186,211,116,120,12
72,107,51,683,626,611,519,13
55,71,108,1165,1121,1110,1050,13
77,81,90,830,658,753,577,13
51,47,59,173,307,122,260,13
82,64,65,951,659,869,595,13
91,81,82,464,494,373,413,13
59,67,87,438,337,379,270,13
59,82,41,439,312,380,230,13
53,39,69,427,399,374,360,13
86,74,63,401,283,315,209,13
62,85,101,340,439,278,354,13
62,95,72,382,312,320,217,13
81,74,49,229,247,148,173,13
87,83,40,260,272,173,189,13
68,60,47,264,259,196,199,13
82,101,117,239,171,157,70,13
91,65,48,496,279,405,214,13
47,65,86,445,320,398,255,13
54,72,47,396,1922,342,1850,13
42,83,101,289,238,247,155,13
42,202,82,190,1225,148,1023,14
55,65,62,129,252,74,187,14
73,74,39,143,322,70,248,14
57,67,56,138,351,81,284,14
39,58,58,134,429,95,371,14
48,57,73,102,262,54,205,14
56,57,81,119,238,63,181,14
49,74,48,98,266,49,192,14
56,57,81,118,229,62,172,14
63,66,65,102,460,39,394,14
64,73,66,127,285,63,212,14
56,57,73,110,311,54,254,14
65,73,64,127,654,62,581,14
57,90,73,104,909,47,819,14
55,66,48,134,712,79,646,14
65,65,73,119,270,54,205,14
65,74,65,127,278,62,204,14
70,65,65,108,311,38,246,14
49,40,55,122,730,73,690,14
46,74,81,118,306,72,232,14
106,118,80,157,462,51,344,15
102,88,100,162,1171,60,1083,15
64,80,93,138,402,74,322,15
96,73,79,133,491,37,418,15
109,89,94,161,549,52,460,15
109,73,87,183,476,74,403,15
104,92,80,143,400,39,308,15
120,94,87,150,438,30,344,15
95,95,87,104,359,9,264,15
103,85,86,128,401,25,316,15
88,79,87,129,459,41,380,15
88,75,79,104,1153,16,1078,15
104,102,95,128,460,24,358,15
95,74,86,133,433,38,359,15
105,93,86,129,636,24,543,15
103,94,87,127,621,24,527,15
120,91,87,138,391,18,300,15
88,93,80,157,1043,69,950,15
87,87,89,104,343,17,256,15
87,87,80,112,395,25,308,15
128,102,62,273,1176,145,1074,16
60,82,100,294,358,234,276,16
98,122,124,285,265,187,143,16
116,103,113,261,300,145,197,16
142,115,126,698,418,556,303,16
126,152,178,348,358,222,206,16
113,114,138,247,303,134,189,16
138,136,125,276,306,138,170,16
99,90,162,269,268,170,178,16
133,127,109,446,461,313,334,16
64,106,95,181,183,117,77,16
82,83,85,191,153,109,70,16
84,67,93,192,194,108,127,16
84,67,95,210,144,126,77,16
90,84,77,225,182,135,98,16
69,91,94,208,150,139,59,16
79,111,94,267,197,188,86,16
125,82,92,262,155,137,73,16
104,98,84,201,222,97,124,16
10,105,76,115,211,105,106,16
61,40,27,415,1532,354,1492,17
59,81,40,317,534,258,453,17
48,48,40,329,535,281,487,17
55,56,76,369,713,314,657,17
54,64,56,279,654,225,590,17
82,43,48,757,439,675,396,17
71,72,31,321,289,250,217,17
56,65,46,297,471,241,406,17
85,64,65,383,305,298,241,17
85,56,81,539,298,454,242,17
83,72,64,373,315,290,243,17
64,77,48,984,449,920,372,17
72,53,64,711,425,639,372,17
81,65,48,469,395,388,330,17
87,57,64,402,495,315,438,17
56,57,68,411,761,355,704,17
71,66,64,351,309,280,243,17
72,65,90,386,267,314,202,17
60,120,73,230,336,170,216,17
73,80,71,256,266,183,186,17
57,94,76,293,373,236,279,18
113,101,88,417,427,304,326,18
75,82,84,366,290,291,208,18
94,85,114,419,304,325,219,18
95,106,92,320,283,225,177,18
92,101,100,427,263,335,162,18
113,112,92,306,354,193,242,18
129,139,139,328,330,199,191,18
108,119,120,248,296,140,177,18
100,107,119,323,335,223,228,18
97,113,122,346,351,249,238,18
95,112,119,366,329,271,217,18
107,114,109,312,297,205,183,18
106,130,110,323,322,217,192,18
120,98,108,359,346,239,248,18
90,122,71,263,310,173,188,18
106,119,88,264,328,158,209,18
121,138,98,330,384,209,246,18
106,116,119,307,277,201,161,18
145,132,112,339,315,194,183,18
57,59,55,784,257,727,198,19
84,61,55,207,259,123,198,19
103,60,74,306,346,203,286,19
80,79,60,214,275,134,196,19
75,65,55,198,249,123,184,19
83,58,56,216,256,133,198,19
70,94,43,649,302,579,208,19
87,63,56,286,281,199,218,19
81,62,64,354,258,273,196,19
113,66,55,282,272,169,206,19
91,53,52,308,276,217,223,19
98,50,57,382,279,284,229,19
73,53,54,339,251,266,198,19
88,60,52,262,249,174,189,19
73,67,52,248,266,175,199,19
106,61,55,354,282,248,221,19
53,69,60,235,261,182,192,19
69,55,48,315,265,246,210,19
87,48,52,274,264,187,216,19
61,50,53,236,257,175,207,19
61,62,40,4116,2137,4055,2075,20
83,98,108,210,1221,127,1123,20
98,80,51,275,374,177,294,20
90,69,72,152,1546,62,1477,20
88,109,89,130,355,42,246,20
81,82,48,123,553,42,471,20
73,74,30,201,520,128,446,20
88,82,65,198,537,110,455,20
88,91,64,148,253,60,162,20
66,57,72,159,387,93,330,20
56,108,66,114,284,58,176,20
88,98,73,156,703,68,605,20
79,105,47,173,587,94,482,20
82,72,71,152,385,70,313,20
79,74,65,416,837,337,763,20
64,57,90,216,259,152,202,20
99,66,68,114,620,15,554,20
83,69,78,132,565,49,496,20
73,55,66,144,601,71,546,20
72,64,49,151,652,79,588,20
70,112,101,721,648,651,536,21
141,88,68,1109,718,968,630,21
109,91,108,1317,641,1208,550,21
99,105,77,604,712,505,607,21
120,89,58,473,1005,353,916,21
107,99,87,830,1048,723,949,21
111,85,69,538,417,427,332,21
98,90,81,576,501,478,411,21
130,90,69,380,389,250,299,21
120,110,38,964,555,844,445,21
119,78,78,544,1087,425,1009,21
100,69,59,1183,452,1083,383,21
120,70,58,393,430,273,360,21
113,58,50,402,371,289,313,21
110,58,80,452,339,342,281,21
120,88,46,402,394,282,306,21
106,78,81,718,376,612,298,21
130,79,68,739,362,609,283,21
111,71,81,433,305,322,234,21
103,71,92,543,360,440,289,21
106,85,91,222,444,116,359,22
67,64,81,233,1463,166,1399,22
62,56,78,237,1336,175,1280,22
82,64,110,220,508,138,444,22
91,93,106,209,1111,118,1018,22
54,56,82,201,315,147,259,22
72,93,73,183,488,111,395,22
61,72,83,208,468,147,396,22
59,65,89,244,1030,185,965,22
33,42,85,210,322,177,280,22
87,82,84,199,286,112,204,22
65,86,74,192,269,127,183,22
87,93,96,196,402,109,309,22
74,84,93,209,421,135,337,22
84,104,84,181,662,97,558,22
93,71,98,213,363,120,292,22
56,56,52,201,370,145,314,22
45,8,53,200,293,155,285,22
