H1,H2,DD1,UD1,user_id
61,81,231,170,1
79,48,221,142,1
70,54,214,144,1
47,39,188,141,1
56,64,156,100,1
69,63,189,120,1
61,64,187,126,1
64,55,165,101,1
78,63,174,96,1
74,75,156,82,1
76,74,193,117,1
38,49,179,141,1
66,47,175,109,1
56,80,166,110,1
64,64,165,101,1
40,54,174,134,1
64,63,166,102,1
56,49,172,116,1
39,58,175,136,1
74,59,165,91,1
97,100,374,277,2
95,67,273,178,2
80,81,320,240,2
73,79,267,194,2
109,84,397,288,2
83,64,317,234,2
56,87,274,218,2
105,59,281,176,2
100,67,270,170,2
94,66,276,182,2
81,89,263,182,2
95,54,280,185,2
87,54,1443,1356,2
86,72,264,178,2
51,48,256,205,2
62,51,280,218,2
85,61,257,172,2
83,65,256,173,2
112,55,297,185,2
87,60,258,171,2
89,75,265,176,3
91,91,233,142,3
72,94,112,40,3
72,74,132,60,3
72,74,149,77,3
73,76,132,59,3
90,80,110,20,3
72,58,183,111,3
71,78,128,57,3
56,77,95,39,3
90,74,383,293,3
91,73,150,59,3
72,69,169,97,3
89,61,128,39,3
94,45,110,16,3
72,59,113,41,3
72,55,133,61,3
70,63,110,40,3
57,78,96,39,3
90,79,109,19,3
70,80,368,298,4
95,105,416,321,4
66,100,232,166,4
85,67,384,299,4
88,85,512,424,4
89,98,334,245,4
75,66,287,212,4
85,89,265,180,4
69,74,208,139,4
80,90,244,164,4
99,95,236,137,4
92,95,241,149,4
92,100,235,143,4
88,102,248,160,4
112,97,811,699,4
97,87,282,185,4
92,113,285,193,4
101,91,275,174,4
86,104,279,193,4
98,86,307,209,4
110,104,700,590,5
137,94,551,414,5
124,100,293,169,5
137,110,1033,896,5
129,118,351,222,5
140,122,351,211,5
119,129,366,247,5
139,137,308,169,5
154,113,473,319,5
121,95,401,280,5
123,103,383,260,5
128,101,434,306,5
146,96,474,328,5
119,98,304,185,5
156,118,309,153,5
120,93,344,224,5
110,117,286,176,5
139,116,271,132,5
114,116,348,234,5
178,87,615,437,5
88,83,312,224,6
78,77,318,240,6
81,82,248,167,6
82,96,320,238,6
73,98,195,122,6
85,79,250,165,6
77,75,218,141,6
98,98,200,102,6
58,77,225,167,6
80,107,571,491,6
96,86,199,103,6
73,96,140,67,6
107,90,179,72,6
72,91,194,122,6
75,103,176,101,6
85,112,154,69,6
90,63,200,110,6
81,108,223,142,6
89,95,219,130,6
103,87,209,106,6
71,147,339,268,7
125,117,345,220,7
126,94,1017,891,7
104,95,316,212,7
71,130,527,456,7
102,122,694,592,7
61,98,146,85,7
72,90,256,184,7
46,57,484,438,7
89,82,461,372,7
79,137,762,683,7
73,96,177,104,7
72,56,346,274,7
73,114,259,186,7
63,91,189,126,7
93,89,180,87,7
69,116,867,798,7
71,102,681,610,7
92,52,844,752,7
78,108,194,116,7
107,86,276,169,8
93,74,209,116,8
76,53,160,84,8
73,83,164,91,8
82,62,124,42,8
71,78,213,142,8
67,81,401,334,8
61,81,206,145,8
74,68,217,143,8
104,94,364,260,8
74,77,434,360,8
64,84,328,264,8
84,81,202,118,8
95,79,184,89,8
68,82,254,186,8
130,85,200,70,8
84,80,201,117,8
104,84,166,62,8
110,94,174,64,8
80,81,240,160,8
60,72,245,185,9
62,79,315,253,9
70,79,223,153,9
54,76,201,147,9
90,96,225,135,9
71,80,206,135,9
87,78,199,112,9
77,88,255,178,9
95,146,684,589,9
122,166,681,559,9
88,123,524,436,9
96,78,726,630,9
79,62,258,179,9
97,117,709,612,9
77,119,568,491,9
96,80,659,563,9
88,125,598,510,9
79,146,809,730,9
29,72,355,326,9
60,88,555,495,9
85,73,1003,918,10
102,69,707,605,10
108,97,919,811,10
101,81,417,316,10
98,92,922,824,10
87,89,565,478,10
69,54,299,230,10
72,93,276,204,10
71,91,310,239,10
110,81,793,683,10
70,75,318,248,10
61,101,293,232,10
72,105,273,201,10
79,74,309,230,10
81,72,347,266,10
72,65,336,264,10
71,63,292,221,10
70,63,301,231,10
60,65,315,255,10
72,83,272,200,10
53,55,136,83,11
81,64,180,99,11
63,65,137,74,11
97,45,182,85,11
70,54,121,51,11
38,79,270,232,11
69,80,819,750,11
18,47,764,746,11
105,80,493,388,11
70,63,617,547,11
76,56,325,249,11
68,73,316,248,11
72,74,295,223,11
112,71,252,140,11
71,63,337,266,11
79,64,344,265,11
71,80,154,83,11
78,80,195,117,11
77,72,210,133,11
94,80,187,93,11
110,111,368,258,12
87,104,215,128,12
94,88,236,142,12
92,95,226,134,12
115,75,250,135,12
67,86,186,119,12
84,93,197,113,12
73,74,204,131,12
75,85,203,128,12
86,96,188,102,12
65,95,212,147,12
75,84,186,111,12
82,89,187,105,12
89,90,181,92,12
79,76,189,110,12
70,76,175,105,12
80,80,182,102,12
63,78,172,109,12
72,89,163,91,12
70,91,186,116,12
72,107,683,611,13
55,71,1165,1110,13
77,81,830,753,13
51,47,173,122,13
82,64,951,869,13
91,81,464,373,13
59,67,438,379,13
59,82,439,380,13
53,39,427,374,13
86,74,401,315,13
62,85,340,278,13
62,95,382,320,13
81,74,229,148,13
87,83,260,173,13
68,60,264,196,13
82,101,239,157,13
91,65,496,405,13
47,65,445,398,13
54,72,396,342,13
42,83,289,247,13
42,202,190,148,14
55,65,129,74,14
73,74,143,70,14
57,67,138,81,14
39,58,134,95,14
48,57,102,54,14
56,57,119,63,14
49,74,98,49,14
56,57,118,62,14
63,66,102,39,14
64,73,127,63,14
56,57,110,54,14
65,73,127,62,14
57,90,104,47,14
55,66,134,79,14
65,65,119,54,14
65,74,127,62,14
70,65,108,38,14
49,40,122,73,14
46,74,118,72,14
106,118,157,51,15
102,88,162,60,15
64,80,138,74,15
96,73,133,37,15
109,89,161,52,15
109,73,183,74,15
104,92,143,39,15
120,94,150,30,15
95,95,104,9,15
103,85,128,25,15
88,79,129,41,15
88,75,104,16,15
104,102,128,24,15
95,74,133,38,15
105,93,129,24,15
103,94,127,24,15
120,91,138,18,15
88,93,157,69,15
87,87,104,17,15
87,87,112,25,15
128,102,273,145,16
60,82,294,234,16
98,122,285,187,16
116,103,261,145,16
142,115,698,556,16
126,152,348,222,16
113,114,247,134,16
138,136,276,138,16
99,90,269,170,16
133,127,446,313,16
64,106,181,117,16
82,83,191,109,16
84,67,192,108,16
84,67,210,126,16
90,84,225,135,16
69,91,208,139,16
79,111,267,188,16
125,82,262,137,16
104,98,201,97,16
10,105,115,105,16
61,40,415,354,17
59,81,317,258,17
48,48,329,281,17
55,56,369,314,17
54,64,279,225,17
82,43,757,675,17
71,72,321,250,17
56,65,297,241,17
85,64,383,298,17
85,56,539,454,17
83,72,373,290,17
64,77,984,920,17
72,53,711,639,17
81,65,469,388,17
87,57,402,315,17
56,57,411,355,17
71,66,351,280,17
72,65,386,314,17
60,120,230,170,17
73,80,256,183,17
57,94,293,236,18
113,101,417,304,18
75,82,366,291,18
94,85,419,325,18
95,106,320,225,18
92,101,427,335,18
113,112,306,193,18
129,139,328,199,18
108,119,248,140,18
100,107,323,223,18
97,113,346,249,18
95,112,366,271,18
107,114,312,205,18
106,130,323,217,18
120,98,359,239,18
90,122,263,173,18
106,119,264,158,18
121,138,330,209,18
106,116,307,201,18
145,132,339,194,18
57,59,784,727,19
84,61,207,123,19
103,60,306,203,19
80,79,214,134,19
75,65,198,123,19
83,58,216,133,19
70,94,649,579,19
87,63,286,199,19
81,62,354,273,19
113,66,282,169,19
91,53,308,217,19
98,50,382,284,19
73,53,339,266,19
88,60,262,174,19
73,67,248,175,19
106,61,354,248,19
53,69,235,182,19
69,55,315,246,19
87,48,274,187,19
61,50,236,175,19
61,62,4116,4055,20
83,98,210,127,20
98,80,275,177,20
90,69,152,62,20
88,109,130,42,20
81,82,123,42,20
73,74,201,128,20
88,82,198,110,20
88,91,148,60,20
66,57,159,93,20
56,108,114,58,20
88,98,156,68,20
79,105,173,94,20
82,72,152,70,20
79,74,416,337,20
64,57,216,152,20
99,66,114,15,20
83,69,132,49,20
73,55,144,71,20
72,64,151,79,20
70,112,721,651,21
141,88,1109,968,21
109,91,1317,1208,21
99,105,604,505,21
120,89,473,353,21
107,99,830,723,21
111,85,538,427,21
98,90,576,478,21
130,90,380,250,21
