H1,H2,H3,H4,DD1,DD2,DD3,UD1,UD2,UD3,user_id
61,81,78,73,231,3268,203,170,3187,125,1
79,48,55,55,221,1528,197,142,1480,142,1
70,54,81,80,214,808,183,144,754,102,1
47,39,83,66,188,351,189,141,312,106,1
56,64,68,64,156,306,161,100,242,93,1
69,63,84,67,189,279,166,120,216,82,1
61,64,61,72,187,429,172,126,365,111,1
64,55,75,66,165,333,164,101,278,89,1
78,63,54,54,174,376,165,96,313,111,1
74,75,75,65,156,335,159,82,260,84,1
76,74,65,65,193,343,165,117,269,100,1
38,49,65,73,179,268,167,141,219,102,1
66,47,68,74,175,282,168,109,235,100,1
56,80,73,65,166,291,174,110,211,101,1
64,64,39,56,165,310,165,101,246,126,1
40,54,64,63,174,474,167,134,420,103,1
64,63,76,64,166,289,167,102,226,91,1
56,49,74,66,172,292,175,116,243,101,1
39,58,57,57,175,232,158,136,174,101,1
74,59,65,72,165,286,158,91,227,93,1
97,100,48,76,374,349,36619,277,249,36571,2
95,67,56,80,273,261,488,178,194,432,2
80,81,74,116,320,783,271,240,702,197,2
73,79,66,89,267,286,315,194,207,249,2
109,84,82,85,397,530,311,288,446,229,2
83,64,82,84,317,478,478,234,414,396,2
56,87,84,83,274,391,347,218,304,263,2
105,59,81,74,281,207,206,176,148,125,2
100,67,54,26,270,251,210,170,184,156,2
94,66,68,81,276,195,202,182,129,134,2
81,89,83,69,263,204,198,182,115,115,2
95,54,59,49,280,187,197,185,133,138,2
87,54,71,70,1443,206,240,1356,152,169,2
86,72,54,56,264,241,204,178,169,150,2
51,48,59,57,256,212,208,205,164,149,2
62,51,55,83,280,214,204,218,163,149,2
85,61,61,57,257,223,225,172,162,164,2
83,65,84,79,256,221,204,173,156,120,2
112,55,71,48,297,208,235,185,153,164,2
87,60,69,52,258,215,214,171,155,145,2
89,75,57,90,265,285,349,176,210,292,3
91,91,56,90,233,267,216,142,176,160,3
72,94,74,77,112,236,164,40,142,90,3
72,74,57,73,132,201,166,60,127,109,3
72,74,72,72,149,201,150,77,127,78,3
73,76,89,73,132,201,166,59,125,77,3
90,80,73,74,110,223,150,20,143,77,3
72,58,58,73,183,183,133,111,125,75,3
71,78,91,78,128,187,113,57,109,22,3
56,77,91,74,95,187,132,39,110,41,3
90,74,74,91,383,200,533,293,126,459,3
91,73,76,77,150,197,183,59,124,107,3
72,69,72,75,169,181,149,97,112,77,3
89,61,91,75,128,187,150,39,126,59,3
94,45,72,75,110,172,114,16,127,42,3
72,59,90,96,113,187,111,41,128,21,3
72,55,91,77,133,183,130,61,128,39,3
70,63,57,78,110,189,96,40,126,39,3
57,78,105,78,96,172,128,39,94,23,3
90,79,74,73,109,190,166,19,111,92,3
70,80,82,96,368,195,753,298,115,671,4
95,105,78,70,416,199,268,321,94,190,4
66,100,90,91,232,175,245,166,75,155,4
85,67,83,76,384,166,284,299,99,201,4
88,85,73,97,512,196,264,424,111,191,4
89,98,55,71,334,216,263,245,118,208,4
75,66,86,92,287,265,431,212,199,345,4
85,89,87,79,265,164,239,180,75,152,4
69,74,83,59,208,138,221,139,64,138,4
80,90,83,57,244,186,256,164,96,173,4
99,95,99,85,236,183,247,137,88,148,4
92,95,91,79,241,174,252,149,79,161,4
92,100,92,90,235,189,243,143,89,151,4
88,102,91,98,248,205,319,160,103,228,4
112,97,100,78,811,185,319,699,88,219,4
97,87,96,88,282,181,613,185,94,517,4
92,113,115,82,285,181,320,193,68,205,4
101,91,100,96,275,193,984,174,102,884,4
86,104,93,77,279,200,314,193,96,221,4
98,86,69,78,307,208,269,209,122,200,4
110,104,124,136,700,1029,1226,590,925,1102,5
137,94,129,86,551,390,567,414,296,438,5
124,100,156,123,293,358,425,169,258,269,5
137,110,148,121,1033,3050,274,896,2940,126,5
129,118,137,113,351,405,391,222,287,254,5
140,122,144,129,351,401,349,211,279,205,5
119,129,149,133,366,471,319,247,342,170,5
139,137,113,107,308,507,314,169,370,201,5
154,113,130,132,473,374,348,319,261,218,5
121,95,110,131,401,1615,294,280,1520,184,5
123,103,148,105,383,357,394,260,254,246,5
128,101,137,138,434,580,289,306,479,152,5
146,96,135,115,474,1332,283,328,1236,148,5
119,98,128,115,304,677,313,185,579,185,5
156,118,113,100,309,499,304,153,381,191,5
120,93,154,132,344,288,366,224,195,212,5
110,117,139,115,286,335,299,176,218,160,5
139,116,136,112,271,386,332,132,270,196,5
114,116,129,116,348,393,339,234,277,210,5
178,87,107,119,615,445,343,437,358,236,5
88,83,109,118,312,260,632,224,177,523,6
78,77,123,111,318,241,738,240,164,615,6
81,82,93,106,248,164,285,167,82,192,6
82,96,97,106,320,308,601,238,212,504,6
73,98,86,84,195,212,282,122,114,196,6
85,79,81,82,250,262,289,165,183,208,6
77,75,76,93,218,147,223,141,72,147,6
98,98,102,102,200,183,677,102,85,575,6
58,77,86,102,225,198,560,167,121,474,6
80,107,80,94,571,274,580,491,167,500,6
96,86,62,92,199,281,327,103,195,265,6
73,96,58,110,140,207,485,67,111,427,6
107,90,58,81,179,178,213,72,88,155,6
72,91,85,90,194,225,205,122,134,120,6
75,103,85,86,176,366,280,101,263,195,6
85,112,76,98,154,213,241,69,101,165,6
90,63,90,99,200,179,209,110,116,119,6
81,108,89,120,223,241,400,142,133,311,6
89,95,96,66,219,228,302,130,133,206,6
103,87,85,90,209,198,1424,106,111,1339,6
71,147,71,95,339,1377,596,268,1230,525,7
125,117,107,91,345,485,479,220,368,372,7
126,94,98,81,1017,476,529,891,382,431,7
104,95,111,90,316,318,442,212,223,331,7
71,130,73,102,527,738,907,456,608,834,7
102,122,98,89,694,593,754,592,471,656,7
61,98,122,84,146,316,841,85,218,719,7
72,90,98,99,256,332,306,184,242,208,7
46,57,62,87,484,302,249,438,245,187,7
89,82,100,90,461,250,199,372,168,99,7
79,137,105,81,762,281,554,683,144,449,7
73,96,101,114,177,346,839,104,250,738,7
72,56,81,87,346,308,268,274,252,187,7
73,114,96,97,259,309,200,186,195,104,7
63,91,81,72,189,267,167,126,176,86,7
93,89,101,64,180,271,170,87,182,69,7
69,116,105,68,867,349,808,798,233,703,7
71,102,108,82,681,295,413,610,193,305,7
92,52,73,82,844,797,174,752,745,101,7
78,108,101,95,194,877,296,116,769,195,7
107,86,86,76,276,932,346,169,846,260,8
93,74,104,73,209,775,335,116,701,231,8
76,53,90,80,160,213,460,84,160,370,8
73,83,101,80,164,331,290,91,248,189,8
82,62,64,75,124,433,266,42,371,202,8
71,78,75,62,213,869,245,142,791,170,8
67,81,76,76,401,736,256,334,655,180,8
61,81,76,74,206,318,495,145,237,419,8
74,68,79,65,217,399,266,143,331,187,8
104,94,122,70,364,559,229,260,465,107,8
74,77,91,88,434,686,814,360,609,723,8
64,84,141,60,328,623,287,264,539,146,8
84,81,83,65,202,300,246,118,219,163,8
95,79,104,71,184,258,227,89,179,123,8
68,82,112,61,254,209,216,186,127,104,8
130,85,89,62,200,726,178,70,641,89,8
84,80,104,82,201,933,196,117,853,92,8
104,84,80,81,166,317,398,62,233,318,8
110,94,105,61,174,262,317,64,168,212,8
80,81,77,80,240,499,177,160,418,100,8
60,72,89,47,245,133,309,185,61,220,9
62,79,63,71,315,141,560,253,62,497,9
70,79,80,80,223,150,492,153,71,412,9
54,76,63,71,201,172,501,147,96,438,9
90,96,72,81,225,191,375,135,95,303,9
71,80,97,85,206,367,729,135,287,632,9
87,78,86,71,199,151,774,112,73,688,9
77,88,89,113,255,157,995,178,69,906,9
95,146,116,105,684,155,561,589,9,445,9
122,166,123,131,681,326,476,559,160,353,9
88,123,115,79,524,208,435,436,85,320,9
96,78,81,46,726,105,293,630,27,212,9
79,62,63,72,258,190,292,179,128,229,9
97,117,75,64,709,148,260,612,31,185,9
77,119,149,81,568,279,383,491,160,234,9
96,80,55,96,659,132,292,563,52,237,9
88,125,109,104,598,149,745,510,24,636,9
79,146,89,63,809,280,309,730,134,220,9
29,72,47,62,355,108,410,326,36,363,9
60,88,80,79,555,115,318,495,27,238,9
85,73,92,112,1003,968,521,918,895,429,10
102,69,121,87,707,638,1640,605,569,1519,10
108,97,128,120,919,1361,430,811,1264,302,10
101,81,100,90,417,672,598,316,591,498,10
98,92,118,51,922,966,1157,824,874,1039,10
87,89,123,110,565,689,316,478,600,193,10
69,54,72,88,299,371,573,230,317,501,10
72,93,81,60,276,355,220,204,262,139,10
71,91,83,62,310,424,370,239,333,287,10
110,81,98,79,793,968,361,683,887,263,10
70,75,99,65,318,386,312,248,311,213,10
61,101,91,85,293,367,280,232,266,189,10
72,105,103,94,273,369,275,201,264,172,10
79,74,81,99,309,384,227,230,310,146,10
81,72,82,76,347,337,269,266,265,187,10
72,65,92,78,336,390,249,264,325,157,10
71,63,92,92,292,354,220,221,291,128,10
70,63,70,83,301,323,207,231,260,137,10
60,65,79,89,315,345,214,255,280,135,10
72,83,72,102,272,358,183,200,275,111,10
53,55,70,71,136,1578,212,83,1523,142,11
81,64,72,40,180,453,206,99,389,134,11
63,65,63,39,137,504,146,74,439,83,11
97,45,64,62,182,327,197,85,282,133,11
70,54,78,62,121,756,253,51,702,175,11
38,79,72,55,270,311,205,232,232,133,11
69,80,64,63,819,561,139,750,481,75,11
18,47,80,63,764,379,147,746,332,67,11
105,80,96,55,493,396,137,388,316,41,11
70,63,72,55,617,511,173,547,448,101,11
76,56,63,45,325,297,180,249,241,117,11
68,73,63,56,316,339,163,248,266,100,11
72,74,62,47,295,297,154,223,223,92,11
112,71,78,77,252,1615,678,140,1544,600,11
71,63,76,64,337,297,111,266,234,35,11
79,64,55,64,344,329,88,265,265,33,11
71,80,64,63,154,354,89,83,274,25,11
78,80,72,63,195,312,197,117,232,125,11
77,72,87,70,210,504,420,133,432,333,11
94,80,78,80,187,346,145,93,266,67,11
110,111,103,108,368,586,322,258,475,219,12
87,104,89,83,215,695,196,128,591,107,12
94,88,105,78,236,276,222,142,188,117,12
92,95,86,71,226,334,212,134,239,126,12
115,75,84,68,250,232,215,135,157,131,12
67,86,97,77,186,247,200,119,161,103,12
84,93,95,69,197,221,205,113,128,110,12
73,74,69,73,204,263,201,131,189,132,12
75,85,95,93,203,233,215,128,148,120,12
86,96,89,89,188,221,198,102,125,109,12
65,95,85,80,212,231,193,147,136,108,12
75,84,96,78,186,222,205,111,138,109,12
82,89,101,86,187,267,198,105,178,97,12
89,90,94,98,181,225,195,92,135,101,12
79,76,85,77,189,223,196,110,147,111,12
70,76,87,80,175,194,188,105,118,101,12
80,80,78,94,182,197,174,102,117,96,12
63,78,84,81,172,199,193,109,121,109,12
72,89,80,95,163,198,173,91,109,93,12
70,91,85,80,186,211,186,116,120,101,12
72,107,51,107,683,626,1726,611,519,1675,13
55,71,108,86,1165,1121,1402,1110,1050,1294,13
77,81,90,74,830,658,760,753,577,670,13
51,47,59,64,173,307,1561,122,260,1502,13
82,64,65,66,951,659,461,869,595,396,13
91,81,82,87,464,494,696,373,413,614,13
59,67,87,59,438,337,348,379,270,261,13
59,82,41,33,439,312,362,380,230,321,13
53,39,69,50,427,399,777,374,360,708,13
86,74,63,75,401,283,499,315,209,436,13
62,85,101,58,340,439,438,278,354,337,13
62,95,72,52,382,312,357,320,217,285,13
81,74,49,78,229,247,296,148,173,247,13
87,83,40,59,260,272,272,173,189,232,13
68,60,47,52,264,259,295,196,199,248,13
82,101,117,81,239,171,266,157,70,149,13
91,65,48,59,496,279,370,405,214,322,13
47,65,86,58,445,320,307,398,255,221,13
54,72,47,47,396,1922,371,342,1850,324,13
42,83,101,92,289,238,322,247,155,221,13
42,202,82,56,190,1225,156,148,1023,74,14
55,65,62,66,129,252,91,74,187,29,14
73,74,39,58,143,322,184,70,248,145,14
57,67,56,57,138,351,119,81,284,63,14
39,58,58,56,134,429,112,95,371,54,14
48,57,73,56,102,262,110,54,205,37,14
56,57,81,48,119,238,127,63,181,46,14
49,74,48,58,98,266,110,49,192,62,14
56,57,81,66,118,229,109,62,172,28,14
63,66,65,58,102,460,118,39,394,53,14
64,73,66,65,127,285,129,63,212,63,14
56,57,73,66,110,311,128,54,254,55,14
65,73,64,57,127,654,94,62,581,30,14
57,90,73,65,104,909,129,47,819,56,14
55,66,48,66,134,712,94,79,646,46,14
65,65,73,49,119,270,110,54,205,37,14
65,74,65,66,127,278,119,62,204,54,14
70,65,65,65,108,311,118,38,246,53,14
49,40,55,65,122,730,93,73,690,38,14
46,74,81,81,118,306,103,72,232,22,14
106,118,80,103,157,462,205,51,344,125,15
102,88,100,88,162,1171,166,60,1083,66,15
64,80,93,102,138,402,139,74,322,46,15
96,73,79,102,133,491,132,37,418,53,15
109,89,94,97,161,549,131,52,460,37,15
109,73,87,96,183,476,131,74,403,44,15
104,92,80,111,143,400,146,39,308,66,15
120,94,87,108,150,438,162,30,344,75,15
95,95,87,117,104,359,169,9,264,82,15
103,85,86,96,128,401,153,25,316,67,15
88,79,87,96,129,459,146,41,380,59,15
88,75,79,118,104,1153,139,16,1078,60,15
104,102,95,87,128,460,155,24,358,60,15
95,74,86,87,133,433,161,38,359,75,15
105,93,86,102,129,636,145,24,543,59,15
103,94,87,94,127,621,169,24,527,82,15
120,91,87,101,138,391,133,18,300,46,15
88,93,80,105,157,1043,146,69,950,66,15
87,87,89,103,104,343,132,17,256,43,15
87,87,80,109,112,395,161,25,308,81,15
128,102,62,104,273,1176,1424,145,1074,1362,16
60,82,100,87,294,358,340,234,276,240,16
98,122,124,84,285,265,317,187,143,193,16
