H1,H2,DD1,UD1,user_id
61,81,231.0,170.0,1
79,48,221.0,142.0,1
70,54,214.0,144.0,1
47,39,188.0,141.0,1
56,64,156.0,100.0,1
69,63,189.0,120.0,1
61,64,187.0,126.0,1
64,55,165.0,101.0,1
78,63,174.0,96.0,1
74,75,156.0,82.0,1
76,74,193.0,117.0,1
38,49,179.0,141.0,1
66,47,175.0,109.0,1
56,80,166.0,110.0,1
64,64,165.0,101.0,1
40,54,174.0,134.0,1
64,63,166.0,102.0,1
56,49,172.0,116.0,1
39,58,175.0,136.0,1
74,59,165.0,91.0,1
97,100,374.0,277.0,2
95,67,273.0,178.0,2
80,81,320.0,240.0,2
73,79,267.0,194.0,2
109,84,397.0,288.0,2
83,64,317.0,234.0,2
56,87,274.0,218.0,2
105,59,281.0,176.0,2
100,67,270.0,170.0,2
94,66,276.0,182.0,2
81,89,263.0,182.0,2
95,54,280.0,185.0,2
87,54,1046.3651785714287,816.4660714285715,2
86,72,264.0,178.0,2
51,48,256.0,205.0,2
62,51,280.0,218.0,2
85,61,257.0,172.0,2
83,65,256.0,173.0,2
112,55,297.0,185.0,2
87,60,258.0,171.0,2
89,75,265.0,176.0,3
91,91,233.0,142.0,3
72,94,112.0,40.0,3
72,74,132.0,60.0,3
72,74,149.0,77.0,3
73,76,132.0,59.0,3
90,80,110.0,20.0,3
72,58,183.0,111.0,3
71,78,128.0,57.0,3
56,77,95.0,39.0,3
90,74,383.0,293.0,3
91,73,150.0,59.0,3
72,69,169.0,97.0,3
89,61,128.0,39.0,3
94,45,110.0,16.0,3
72,59,113.0,41.0,3
72,55,133.0,61.0,3
70,63,110.0,40.0,3
57,78,96.0,39.0,3
90,79,109.0,19.0,3
70,80,368.0,298.0,4
95,105,416.0,321.0,4
66,100,232.0,166.0,4
85,67,384.0,299.0,4
88,85,512.0,424.0,4
89,98,334.0,245.0,4
75,66,287.0,212.0,4
85,89,265.0,180.0,4
69,74,208.0,139.0,4
80,90,244.0,164.0,4
99,95,236.0,137.0,4
92,95,241.0,149.0,4
92,100,235.0,143.0,4
88,102,248.0,160.0,4
112,97,811.0,699.0,4
97,87,282.0,185.0,4
92,113,285.0,193.0,4
101,91,275.0,174.0,4
86,104,279.0,193.0,4
98,86,307.0,209.0,4
110,104,700.0,590.0,5
137,94,551.0,414.0,5
124,100,293.0,169.0,5
137,110,1033.0,896.0,5
129,118,351.0,222.0,5
140,122,351.0,211.0,5
119,129,366.0,247.0,5
139,137,308.0,169.0,5
154,113,473.0,319.0,5
121,95,401.0,280.0,5
123,103,383.0,260.0,5
128,101,434.0,306.0,5
146,96,474.0,328.0,5
119,98,304.0,185.0,5
156,118,309.0,153.0,5
120,93,344.0,224.0,5
110,117,286.0,176.0,5
139,116,271.0,132.0,5
114,116,348.0,234.0,5
178,87,615.0,437.0,5
88,83,312.0,224.0,6
78,77,318.0,240.0,6
81,82,248.0,167.0,6
82,96,320.0,238.0,6
73,98,195.0,122.0,6
85,79,250.0,165.0,6
77,75,218.0,141.0,6
98,98,200.0,102.0,6
58,77,225.0,167.0,6
80,107,571.0,491.0,6
96,86,199.0,103.0,6
73,96,140.0,67.0,6
107,90,179.0,72.0,6
72,91,194.0,122.0,6
75,103,176.0,101.0,6
85,112,154.0,69.0,6
90,63,200.0,110.0,6
81,108,223.0,142.0,6
89,95,219.0,130.0,6
103,87,209.0,106.0,6
71,147,339.0,268.0,7
125,117,345.0,220.0,7
126,94,1017.0,891.0,7
104,95,316.0,212.0,7
71,130,527.0,456.0,7
102,122,694.0,592.0,7
61,98,146.0,85.0,7
72,90,256.0,184.0,7
46,57,484.0,438.0,7
89,82,461.0,372.0,7
79,137,762.0,683.0,7
73,96,177.0,104.0,7
72,56,346.0,274.0,7
73,114,259.0,186.0,7
63,91,189.0,126.0,7
93,89,180.0,87.0,7
69,116,867.0,798.0,7
71,102,681.0,610.0,7
92,52,844.0,752.0,7
