H1,H2,H3,DD1,DD2,UD1,UD2,user_id
61,81,78.0,231.0,1240.1169642857142,170.0,1008.7459821428572,1
79,48,55.0,221.0,1528.0,142.0,1008.7459821428572,1
70,54,81.0,214.0,808.0,144.0,754.0,1
47,39,83.0,188.0,351.0,141.0,312.0,1
56,64,68.0,156.0,306.0,100.0,242.0,1
69,63,84.0,189.0,279.0,120.0,216.0,1
61,64,61.0,187.0,429.0,126.0,365.0,1
64,55,75.0,165.0,333.0,101.0,278.0,1
78,63,54.0,174.0,376.0,96.0,313.0,1
74,75,75.0,156.0,335.0,82.0,260.0,1
76,74,65.0,193.0,343.0,117.0,269.0,1
38,49,65.0,179.0,268.0,141.0,219.0,1
66,47,68.0,175.0,282.0,109.0,235.0,1
56,80,73.0,166.0,291.0,110.0,211.0,1
64,64,39.0,165.0,310.0,101.0,246.0,1
40,54,64.0,174.0,474.0,134.0,420.0,1
64,63,76.0,166.0,289.0,102.0,226.0,1
56,49,74.0,172.0,292.0,116.0,243.0,1
39,58,57.0,175.0,232.0,136.0,174.0,1
74,59,65.0,165.0,286.0,91.0,227.0,1
97,100,48.0,374.0,349.0,277.0,249.0,2
95,67,56.0,273.0,261.0,178.0,194.0,2
80,81,74.0,320.0,783.0,240.0,702.0,2
73,79,66.0,267.0,286.0,194.0,207.0,2
109,84,82.0,397.0,530.0,288.0,446.0,2
83,64,82.0,317.0,478.0,234.0,414.0,2
56,87,84.0,274.0,391.0,218.0,304.0,2
105,59,81.0,281.0,207.0,176.0,148.0,2
100,67,54.0,270.0,251.0,170.0,184.0,2
94,66,68.0,276.0,195.0,182.0,129.0,2
81,89,83.0,263.0,204.0,182.0,115.0,2
95,54,59.0,280.0,187.0,185.0,133.0,2
87,54,71.0,1046.3651785714287,206.0,816.4660714285715,152.0,2
86,72,54.0,264.0,241.0,178.0,169.0,2
51,48,59.0,256.0,212.0,205.0,164.0,2
62,51,55.0,280.0,214.0,218.0,163.0,2
85,61,61.0,257.0,223.0,172.0,162.0,2
83,65,84.0,256.0,221.0,173.0,156.0,2
112,55,71.0,297.0,208.0,185.0,153.0,2
87,60,69.0,258.0,215.0,171.0,155.0,2
89,75,57.0,265.0,285.0,176.0,210.0,3
91,91,56.0,233.0,267.0,142.0,176.0,3
72,94,74.0,112.0,236.0,40.0,142.0,3
72,74,57.0,132.0,201.0,60.0,127.0,3
72,74,72.0,149.0,201.0,77.0,127.0,3
73,76,89.0,132.0,201.0,59.0,125.0,3
90,80,73.0,110.0,223.0,20.0,143.0,3
72,58,58.0,183.0,183.0,111.0,125.0,3
71,78,91.0,128.0,187.0,57.0,109.0,3
56,77,91.0,95.0,187.0,39.0,110.0,3
90,74,74.0,383.0,200.0,293.0,126.0,3
91,73,76.0,150.0,197.0,59.0,124.0,3
72,69,72.0,169.0,181.0,97.0,112.0,3
89,61,91.0,128.0,187.0,39.0,126.0,3
94,45,72.0,110.0,172.0,16.0,127.0,3
72,59,90.0,113.0,187.0,41.0,128.0,3
72,55,91.0,133.0,183.0,61.0,128.0,3
70,63,57.0,110.0,189.0,40.0,126.0,3
57,78,105.0,96.0,172.0,39.0,94.0,3
90,79,74.0,109.0,190.0,19.0,111.0,3
70,80,82.0,368.0,195.0,298.0,115.0,4
95,105,78.0,416.0,199.0,321.0,94.0,4
66,100,90.0,232.0,175.0,166.0,75.0,4
85,67,83.0,384.0,166.0,299.0,99.0,4
88,85,73.0,512.0,196.0,424.0,111.0,4
89,98,55.0,334.0,216.0,245.0,118.0,4
75,66,86.0,287.0,265.0,212.0,199.0,4
85,89,87.0,265.0,164.0,180.0,75.0,4
69,74,83.0,208.0,138.0,139.0,64.0,4
80,90,83.0,244.0,186.0,164.0,96.0,4
99,95,99.0,236.0,183.0,137.0,88.0,4
92,95,91.0,241.0,174.0,149.0,79.0,4
92,100,92.0,235.0,189.0,143.0,89.0,4
88,102,91.0,248.0,205.0,160.0,103.0,4
112,97,100.0,811.0,185.0,699.0,88.0,4
97,87,96.0,282.0,181.0,185.0,94.0,4
92,113,115.0,285.0,181.0,193.0,68.0,4
101,91,100.0,275.0,193.0,174.0,102.0,4
86,104,93.0,279.0,200.0,193.0,96.0,4
98,86,69.0,307.0,208.0,209.0,122.0,4
110,104,124.0,700.0,1029.0,590.0,925.0,5
137,94,129.0,551.0,390.0,414.0,296.0,5
124,100,156.0,293.0,358.0,169.0,258.0,5
137,110,148.0,1033.0,1240.1169642857142,896.0,1008.7459821428572,5
129,118,137.0,351.0,405.0,222.0,287.0,5
140,122,144.0,351.0,401.0,211.0,279.0,5
119,129,149.0,366.0,471.0,247.0,342.0,5
139,137,113.0,308.0,507.0,169.0,370.0,5
154,113,130.0,473.0,374.0,319.0,261.0,5
121,95,110.0,401.0,1615.0,280.0,1008.7459821428572,5
123,103,148.0,383.0,357.0,260.0,254.0,5
128,101,137.0,434.0,580.0,306.0,479.0,5
146,96,135.0,474.0,1332.0,328.0,1236.0,5
119,98,128.0,304.0,677.0,185.0,579.0,5
156,118,113.0,309.0,499.0,153.0,381.0,5
120,93,154.0,344.0,288.0,224.0,195.0,5
110,117,139.0,286.0,335.0,176.0,218.0,5
139,116,136.0,271.0,386.0,132.0,270.0,5
