H1,H2,H3,H4,DD1,DD2,DD3,UD1,UD2,UD3,user_id
61,81,78.0,73,231.0,1240.1169642857142,203.0,170.0,1008.7459821428572,125.0,1
79,48,55.0,55,221.0,1528.0,197.0,142.0,1008.7459821428572,142.0,1
70,54,81.0,80,214.0,808.0,183.0,144.0,754.0,102.0,1
47,39,83.0,66,188.0,351.0,189.0,141.0,312.0,106.0,1
56,64,68.0,64,156.0,306.0,161.0,100.0,242.0,93.0,1
69,63,84.0,67,189.0,279.0,166.0,120.0,216.0,82.0,1
61,64,61.0,72,187.0,429.0,172.0,126.0,365.0,111.0,1
64,55,75.0,66,165.0,333.0,164.0,101.0,278.0,89.0,1
78,63,54.0,54,174.0,376.0,165.0,96.0,313.0,111.0,1
74,75,75.0,65,156.0,335.0,159.0,82.0,260.0,84.0,1
76,74,65.0,65,193.0,343.0,165.0,117.0,269.0,100.0,1
38,49,65.0,73,179.0,268.0,167.0,141.0,219.0,102.0,1
66,47,68.0,74,175.0,282.0,168.0,109.0,235.0,100.0,1
56,80,73.0,65,166.0,291.0,174.0,110.0,211.0,101.0,1
64,64,39.0,56,165.0,310.0,165.0,101.0,246.0,126.0,1
40,54,64.0,63,174.0,474.0,167.0,134.0,420.0,103.0,1
64,63,76.0,64,166.0,289.0,167.0,102.0,226.0,91.0,1
56,49,74.0,66,172.0,292.0,175.0,116.0,243.0,101.0,1
39,58,57.0,57,175.0,232.0,158.0,136.0,174.0,101.0,1
74,59,65.0,72,165.0,286.0,158.0,91.0,227.0,93.0,1
97,100,48.0,76,374.0,349.0,1440.7392857142856,277.0,249.0,1208.8700892857144,2
95,67,56.0,80,273.0,261.0,488.0,178.0,194.0,432.0,2
80,81,74.0,116,320.0,783.0,271.0,240.0,702.0,197.0,2
73,79,66.0,89,267.0,286.0,315.0,194.0,207.0,249.0,2
109,84,82.0,85,397.0,530.0,311.0,288.0,446.0,229.0,2
83,64,82.0,84,317.0,478.0,478.0,234.0,414.0,396.0,2
56,87,84.0,83,274.0,391.0,347.0,218.0,304.0,263.0,2
105,59,81.0,74,281.0,207.0,206.0,176.0,148.0,125.0,2
100,67,54.0,26,270.0,251.0,210.0,170.0,184.0,156.0,2
94,66,68.0,81,276.0,195.0,202.0,182.0,129.0,134.0,2
81,89,83.0,69,263.0,204.0,198.0,182.0,115.0,115.0,2
95,54,59.0,49,280.0,187.0,197.0,185.0,133.0,138.0,2
87,54,71.0,70,1046.3651785714287,206.0,240.0,816.4660714285715,152.0,169.0,2
86,72,54.0,56,264.0,241.0,204.0,178.0,169.0,150.0,2
51,48,59.0,57,256.0,212.0,208.0,205.0,164.0,149.0,2
62,51,55.0,83,280.0,214.0,204.0,218.0,163.0,149.0,2
85,61,61.0,57,257.0,223.0,225.0,172.0,162.0,164.0,2
83,65,84.0,79,256.0,221.0,204.0,173.0,156.0,120.0,2
112,55,71.0,48,297.0,208.0,235.0,185.0,153.0,164.0,2
87,60,69.0,52,258.0,215.0,214.0,171.0,155.0,145.0,2
89,75,57.0,90,265.0,285.0,349.0,176.0,210.0,292.0,3
91,91,56.0,90,233.0,267.0,216.0,142.0,176.0,160.0,3
72,94,74.0,77,112.0,236.0,164.0,40.0,142.0,90.0,3
72,74,57.0,73,132.0,201.0,166.0,60.0,127.0,109.0,3
72,74,72.0,72,149.0,201.0,150.0,77.0,127.0,78.0,3
73,76,89.0,73,132.0,201.0,166.0,59.0,125.0,77.0,3
90,80,73.0,74,110.0,223.0,150.0,20.0,143.0,77.0,3
